Gm#,Year,Date,Month,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,DATE,OPP,Play,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
1,2016,"Monday, Apr 4",April,boxscore,BAL,,MIN,W-wo,3,2,,1-0,2,0.5,Britton,Jepsen,,2:48,0,"45,785",4-Apr,vs MIN,1,W 3-2,5,1,1,0,0,0,0,0,1,0,0,0.2,0.2,0.4,0.2
2,2016,"Wednesday, Apr 6",April,boxscore,BAL,,MIN,W,4,2,,2-0,1,up 1.0,Gallardo,Gibson,Britton,3:11,1,"12,622",6-Apr,vs MIN,1,W 4-2,4,0,1,0,0,0,0,1,2,0,0,0.3,0.222,0.522,0.222
3,2016,"Thursday, Apr 7",April,boxscore,BAL,,MIN,W,4,2,,3-0,1,up 1.0,Jimenez,Hughes,O'Day,2:32,1,"11,142",7-Apr,vs MIN,1,W 4-2,4,1,2,0,0,1,1,0,2,0,0,0.357,0.538,0.895,0.308
4,2016,"Friday, Apr 8",April,boxscore,BAL,,TBR,W,6,1,,4-0,1,up 1.5,Tillman,Archer,,2:46,1,"17,304",8-Apr,vs TB,1,W 6-1,4,1,1,0,0,1,1,0,1,0,0,0.333,0.647,0.98,0.294
5,2016,"Sunday, Apr 10",April,boxscore,BAL,,TBR,W,5,3,,5-0,1,up 2.0,Brach,Odorizzi,Britton,2:53,0,"23,101",10-Apr,vs TB,1,W 5-3,4,2,4,1,0,1,2,0,0,0,0,0.455,0.905,1.36,0.429
12,2016,"Tuesday, Apr 19",April,boxscore,BAL,,TOR,L,3,4,,8-4,1,up 1.5,Stroman,Wright,Osuna,2:50,1,"16,783",19-Apr,vs TOR,1,L 4-3,4,1,2,1,0,1,1,0,0,0,0,0.436,0.784,1.22,0.392
13,2016,"Wednesday, Apr 20",April,boxscore,BAL,,TOR,W-wo,4,3,10,9-4,1,up 2.5,Givens,Biagini,,3:22,1,"15,404",20-Apr,vs TOR,1,W 4-3,3,1,2,1,0,0,1,2,0,0,0,0.467,0.796,1.263,0.407
14,2016,"Thursday, Apr 21",April,boxscore,BAL,,TOR,W,3,2,,10-4,1,up 3.5,O'Day,Cecil,Britton,3:09,1,"17,644",21-Apr,vs TOR,1,W 3-2,5,0,2,1,0,0,2,0,1,0,0,0.462,0.78,1.242,0.407
21,2016,"Thursday, Apr 28",April,boxscore,BAL,,CHW,W,10,2,,13-8,1,up 1.5,Givens,Danks,,3:10,1,"14,568",28-Apr,vs CHW,1,W 10-2,4,3,2,1,0,1,5,1,1,0,0,0.389,0.678,1.067,0.333
23,2016,"Saturday, Apr 30",April,boxscore,BAL,,CHW,L,7,8,,14-9,1,up 0.5,Jones,Britton,,3:42,1,"29,152",30-Apr,vs CHW,1,L 8-7,5,1,2,0,0,0,0,0,0,0,0,0.394,0.667,1.061,0.344
